Date,^CNXAUTO,^CNXENERGY,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXREALTY
2014-10-14 00:00:00+05:30,7690.5498046875,9303.0498046875,11350.2998046875,2027.5,2786.300048828125,183.60000610351562
2014-10-16 00:00:00+05:30,7524.35009765625,9103.75,11174.849609375,2003.3499755859375,2710.5,182.64999389648438
2014-10-17 00:00:00+05:30,7568.7998046875,9159.25,10746.2001953125,2046.4000244140625,2712.14990234375,184.1999969482422
2014-10-20 00:00:00+05:30,7725.75,9315.099609375,10673.099609375,2068.89990234375,2753.949951171875,186.1999969482422
2014-10-21 00:00:00+05:30,7765.39990234375,9314.0,10692.349609375,2094.050048828125,2805.5,191.14999389648438
2014-10-22 00:00:00+05:30,7991.10009765625,9351.150390625,10767.400390625,2119.800048828125,2824.25,192.5
2014-10-27 00:00:00+05:30,7939.60009765625,9302.349609375,10714.2998046875,2087.10009765625,2819.800048828125,185.3000030517578
2014-10-28 00:00:00+05:30,7972.85009765625,9308.25,10737.25,2105.85009765625,2819.25,185.85000610351562
2014-10-29 00:00:00+05:30,8103.7001953125,9396.75,10912.2998046875,2128.199951171875,2896.10009765625,191.64999389648438
2014-10-30 00:00:00+05:30,8128.89990234375,9542.5,11124.599609375,2149.35009765625,2910.10009765625,197.85000610351562
2014-10-31 00:00:00+05:30,8246.900390625,9758.900390625,11341.0498046875,2152.800048828125,2966.39990234375,200.6999969482422
2014-11-03 00:00:00+05:30,8172.85009765625,9722.75,11359.900390625,2181.5,2970.449951171875,208.0
2014-11-05 00:00:00+05:30,8183.9501953125,9626.400390625,11440.5,2202.5,2879.25,207.60000610351562
2014-11-07 00:00:00+05:30,8118.39990234375,9613.400390625,11476.150390625,2262.25,2843.699951171875,213.10000610351562
2014-11-10 00:00:00+05:30,8106.2998046875,9537.25,11470.9501953125,2253.60009765625,2838.25,212.6999969482422
2014-11-11 00:00:00+05:30,8172.7998046875,9578.5,11439.7001953125,2269.75,2842.050048828125,215.0500030517578
